,SCATS Number,NB_LATITUDE,NB_LONGITUDE
0,970,-37.86703,145.09159
1,2000,-37.8516827,145.0943457
2,2200,-37.81631,145.09812
3,2820,-37.79477,145.03077
4,2825,-37.78661,145.06202
5,2827,-37.78127,145.07688
6,2846,-37.8612671,145.058038
7,3001,-37.81457,145.02161
8,3002,-37.81489,145.02663
9,3120,-37.82315,145.05724
10,3122,-37.82374,145.06417
11,3126,-37.82778,145.09885
12,3127,-37.82506,145.078
13,3180,-37.79611,145.08372
14,3662,-37.80876,145.02757
15,3682,-37.83799,145.09681
16,3685,-37.85467,145.09384
17,3804,-37.83331,145.06247
18,3812,-37.83738,145.06119
19,4030,-37.79561,145.06251
20,4032,-37.80225,145.06081
21,4034,-37.81147,145.05946
22,4035,-37.81912,145.05801
23,4040,-37.83256,145.05545
24,4043,-37.84714,145.05205
25,4051,-37.79419,145.0696
26,4057,-37.80431,145.08197
27,4063,-37.81404,145.0801
28,4262,-37.82155,145.01503
29,4263,-37.82295,145.02402
30,4264,-37.82389,145.03409
31,4266,0.0,0.0
32,4270,-37.82951,145.03304
33,4272,-37.83199,145.04636
34,4273,-37.84632,145.04378
35,4321,-37.800776,145.0494611
36,4324,-37.809274,145.037306
37,4335,-37.80624,145.03518
38,4812,-37.82903,145.01456
39,4821,-37.81293,145.00865
